  1                                                                             
  .00000  .09961  .17969  .26465  .34961  .40967  .48877  .51367  .54980  .00000
  .00000  .08984  .15479  .24463  .32471  .41992  .48389  .54492  .60986  .00000
  .00000  .07959  .14990  .21191  .28955  .36475  .42969  .49463  .56982  .00000
  .00000  .06982  .12354  .18994  .25000  .31396  .37988  .44189  .00000  .00000
  .00000  .04688  .09473  .14990  .19971  .25488  .29980  .00000  .00000  .00000
  .00000  .02588  .05957  .09961  .10986  .17578  .19971  .00000  .00000  .00000
  .00000  .02100  .05957  .09961  .12988  .15479  .00000  .00000  .00000  .00000
  .00000  .02100  .05469  .09473  .11963  .14453  .00000  .00000  .00000  .00000
  .00000  .02783  .05957  .07959  .10986  .13965  .00000  .00000  .00000  .00000
  .00439  .00480  .00470  .00465  .00500  .00557  .00561  .00574  .00639  -.00001
  .00449  .00520  .00449  .00439  .00501  .00546  .00575  .00674  .00809  -.00001
  .00449  .00539  .00549  .00549  .00565  .00587  .00660  .00780  .00864  -.00001
  .00600  .00610  .00620  .00590  .00710  .00755  .00960  .01030  .01089  -.00001
  .00710  .00684  .00722  .00760  .00913  .00940  .01105  .01167  -.00001  -.00001
  .00800  .00790  .00840  .00840  .00980  .01530  .01758  -.00001  -.00001  -.00001
  .00890  .00940  .00980  .01035  .01240  .02208  .02419  -.00001  -.00001  -.00001
  .01019  .01099  .01160  .01209  .01400  .01900  -.00001  -.00001  -.00001  -.00001
  .01199  .01299  .01320  .01379  .01479  .01800  -.00001  -.00001  -.00001  -.00001
  .01430  .01479  .01500  .01520  .01600  .01820  -.00001  -.00001  -.00001  -.00001
  5                                                                             
  .20996  .31982  .41992  .50000  .56982  .61768  .64990  .65283  .64160  .00000
  .19482  .30762  .38281  .48975  .55859  .62598  .68994  .71094  .72559  .00000
  .18164  .28955  .35498  .44971  .51953  .58984  .67969  .73486  .76953  .00000
  .19971  .27979  .33984  .40967  .47998  .53955  .60693  .67969  .76172  .00000
  .18652  .25977  .30762  .36963  .43994  .49268  .55957  .62988  .00000  .00000
  .17480  .21973  .26172  .32471  .37500  .42969  .46484  .00000  .00000  .00000
  .17480  .19092  .22998  .25000  .29980  .33984  .37988  .00000  .00000  .00000
  .15967  .17773  .19971  .24463  .27979  .30469  .00000  .00000  .00000  .00000
  .14453  .16162  .19971  .23486  .25977  .28467  .00000  .00000  .00000  .00000
